rank,date,ticker,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
46,2026-09-11,AMD,516.1300048828125,0.06874704969778156,0.0566690387634774,1.6101445865523418,1.2614945482943383,0.7480590612421177,-0.2605394683907095,-0.11151464298513847,0.9846938775510204,0.23469387755102042,0.6846938775510204
47,2026-09-11,DELL,567.2899780273438,0.1708771476312565,0.45159631053657967,2.802185284799948,3.001769964283988,0.8895783668126312,-0.20630525182459436,0.0,1.0,0.1989795918367347,0.6795918367346938
48,2026-09-11,STLD,239.7899932861328,-0.08887453469330864,-0.14028319287808633,0.37679968796384666,0.27285940095126215,0.3833604190693861,-0.2237350714164098,-0.15004309582959152,0.8316326530612245,0.4489795918367347,0.6785714285714286
49,2026-09-11,GPN,88.29000091552734,0.0001126951131371623,0.3581833609922469,0.26339058887389344,0.32243410057376587,0.4082834401412529,-0.17269242313637423,-0.06632952157842054,0.7653061224489796,0.5408163265306123,0.6755102040816326
50,2026-09-11,OKTA,166.5,0.13034620876074077,0.4170212765957446,1.1089297838624819,0.7572011387161144,0.8111092873318436,-0.2240443712800233,-0.03779469220920806,0.9489795918367347,0.24489795918367346,0.6673469387755102
51,2026-09-11,BLK,1079.6500244140625,-0.06522424278294836,0.06749154074593511,0.18247457517215881,0.10457996672173331,0.27429499697359566,-0.13451231031818978,-0.08304349142314005,0.6275510204081632,0.7244897959183674,0.6663265306122449
52,2026-09-11,MSFT,495.6300048828125,0.008393153523299723,0.2721294926115181,0.2383380861608846,0.23424774754624544,0.37770514559236457,-0.23384438882974434,-0.07814879190681956,0.7346938775510204,0.5612244897959183,0.6653061224489796
53,2026-09-11,SNOW,328.989990234375,-0.009841748736348577,0.3685677069332436,0.856078929389986,0.8865962166770209,0.7827858849469598,-0.322120238845395,-0.07708926667664884,0.9387755102040817,0.22959183673469388,0.6551020408163265
54,2026-09-11,TXN,268.70001220703125,-0.028525920081436063,-0.09096003719266421,0.4282979508439717,0.21921967526226527,0.4993664852145288,-0.23366704862791665,-0.18720424581638884,0.8622448979591837,0.34183673469387754,0.6540816326530612
55,2026-09-11,TSM,433.239990234375,0.009530458804753339,0.028902516680048285,0.2933332300834366,0.15671105060631763,0.4399847445575701,-0.2154657795053414,-0.09282412297669362,0.7857142857142857,0.45408163265306123,0.653061224489796
